Date and Time:                Fri Mar 21 14:11:33.414 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
922,7074	-54
923,24103	-172
923,77472	-248
924,30841	-121
924,84216	-86
925,37585	18
925,90967	-40
926,44342	20
926,97729	-163
927,51111	-130
928,04498	-57
928,57886	-68
929,11279	-3
929,64673	-108
930,18073	-4
930,71466	-140
931,24872	-71
931,78271	-122
932,31683	-85
932,85089	-216
933,38501	-135
933,91913	-202
934,45331	-140
934,98749	-34
935,52167	-25
936,05591	-199
936,59021	-98
937,12445	-103
937,65875	-160
938,19312	95
938,72748	-48
939,26184	-77
939,79626	-176
940,33069	-175
940,86511	-80
941,3996	-101
941,93408	-100
942,46863	95
943,00317	-128
943,53778	-174
944,07239	-75
944,60699	-123
945,1416	-99
945,67633	-53
946,211	-151
946,74573	-61
947,28046	-742
947,81525	-59
948,35004	-47
948,88483	24
949,41968	-132
949,95453	-196
950,48944	-163
951,02435	-77
951,55933	-71
952,09424	-128
952,62927	-162
953,16425	-137
953,69928	-232
954,23438	-166
954,76947	-78
955,30457	-68
955,83972	-55
956,37488	-63
956,91003	-154
957,44525	65
957,98047	40
958,51575	-21
959,05103	-108
959,5863	-59
960,12164	6
960,65698	-77
961,19238	-41
961,72778	-165
962,26324	-63
962,79865	-30
963,33417	-109
963,86963	-193
964,40515	60
964,94073	-89
965,47632	-27
966,0119	-84
966,54749	-38
967,08313	-112
967,61884	-115
968,15454	-77
968,69025	-51
969,22601	-111
969,76178	-151
970,29755	-105
970,83337	-21
971,3692	-130
971,90509	-68
972,44098	-59
972,97687	-66
973,51282	-238
974,04877	-117
974,58478	-251
975,12079	-128
975,6568	-72
