Date and Time:                Thu Mar 13 15:15:21.841 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
926,97723	120
927,51111	126
928,04498	43
928,57886	-28
929,11279	-44
929,64673	115
930,18066	20
930,71466	116
931,24866	-95
931,78271	16
932,31677	16
932,85089	15
933,38501	102
933,91913	-53
934,45331	5
934,98749	-40
935,52167	-73
936,05591	1
936,59015	63
937,12445	0
937,65875	22
938,19312	70
938,72742	-62
939,26184	-11
939,7962	-106
940,33063	23
940,86511	49
941,3996	245
941,93408	-67
942,46863	-7
943,00317	-37
943,53772	154
944,07233	-163
944,60693	3
945,1416	66
945,67627	38
946,211	163
946,74573	56
947,28046	4
947,81519	-13
948,35004	63
948,88483	31
949,41968	50
949,95453	81
950,48944	75
951,02435	88
951,55927	142
952,09424	-97
952,62921	-43
953,16425	3
953,69928	162
954,23438	8
954,76941	159
955,30457	39
955,83966	53
956,37482	12
956,91003	4
957,44525	120
957,98047	97
958,51575	46
959,05103	-10
959,5863	54
960,12164	-36
960,65698	152
961,19238	-28
961,72778	70
962,26318	83
962,79865	104
963,33411	115
963,86963	32
964,40515	-132
964,94067	-22
965,47626	-13
966,01184	-87
966,54749	-78
967,08313	35
967,61884	75
968,15448	71
968,69025	-68
969,22595	-73
969,76172	162
970,29755	-38
970,83331	-19
971,3692	-26
971,90503	-9
972,44092	75
972,97687	-3
973,51282	25
974,04877	-44
974,58472	33
975,12073	2
975,6568	27
976,19287	-79
976,72894	17
977,26501	-83
977,80115	2
978,33734	86
978,87354	115
979,40973	94
979,94592	51
980,48218	67
981,01849	-145
981,55481	-11
982,09113	-1
982,62744	-28
983,16382	-71
983,70026	30
984,23669	0
984,77313	88
985,30957	17
985,84607	-50
986,38263	96
986,91919	69
987,45575	14
987,99231	148
988,52893	-67
989,06561	64
989,60229	25
990,13898	83
990,67566	13
991,2124	47
991,74921	-18
992,28595	-147
992,82281	110
993,35962	99
993,89648	-31
994,43341	93
994,97028	11
995,50726	141
996,04419	20
996,58118	-5
997,11816	-10
997,65521	-32
998,19226	-47
998,72937	-65
999,26648	166
999,80359	-14
1000,3408	-30
1000,8779	-22
1001,4152	-54
1001,9524	147
1002,4896	119
1003,0269	28
1003,5642	7
1004,1016	-45
1004,6389	6
1005,1763	-26
1005,7137	23
1006,2511	-93
1006,7885	-31
1007,326	-88
1007,8635	141
1008,401	178
1008,9386	90
1009,4761	-4
1010,0137	51
1010,5513	126
1011,089	-28
1011,6266	84
1012,1644	-30
1012,7021	-48
1013,2398	26
1013,7776	3
1014,3154	154
1014,8532	19
1015,391	77
1015,9289	59
1016,4668	-122
1017,0047	-25
1017,5426	174
1018,0806	-15
1018,6185	81
1019,1566	-37
1019,6946	23
1020,2327	42
1020,7708	50
1021,3088	-17
1021,847	112
1022,3851	14
1022,9233	-4
1023,4615	-76
1023,9998	19
1024,538	-115
1025,0763	-46
1025,6146	86
1026,153	-108
1026,6913	-42
1027,2296	-69
1027,7681	-91
1028,3064	19
1028,8448	34
1029,3833	16
1029,9219	-13
1030,4603	-29
1030,9989	212
1031,5375	-128
1032,076	79
1032,6147	77
1033,1533	126
1033,692	29
1034,2307	-46
1034,7694	-9
1035,3081	19
1035,8469	1
1036,3857	47
1036,9246	25
1037,4634	122
1038,0022	-41
1038,5411	-114
1039,08	53
1039,6189	89
1040,1578	-20
1040,6969	79
1041,2358	-5
1041,7749	56
1042,314	2
1042,853	130
1043,3922	19
1043,9313	108
1044,4705	-30
1045,0096	-138
1045,5488	-10
1046,088	-82
1046,6273	-79
1047,1665	-73
1047,7058	-126
1048,2452	-5
1048,7845	-65
1049,3239	1
1049,8633	112
1050,4027	-12
1050,9421	-48
1051,4817	7
1052,0211	-10
1052,5607	15
1053,1002	19
1053,6398	-48
1054,1793	-40
1054,719	-6
1055,2587	137
1055,7982	-69
1056,338	16
1056,8777	100
1057,4174	17
1057,9572	-34
1058,4969	30
1059,0367	143
1059,5767	-16
1060,1165	37
1060,6564	-26
1061,1963	9
1061,7362	161
1062,2761	35
